"Your cart subtotal must be equal to ""%s"".","Die Zwischensumme in Ihrem Warenkorb muss genau ""%s"" sein."
"Your cart subtotal must be less than or equal to ""%s"".","Die Zwischensumme in Ihrem Warenkorb muss weniger als oder genau ""%s"" sein."
"Your cart subtotal must be greater than or equal to ""%s"".","Die Zwischensumme in Ihrem Warenkorb muss mehr als oder genau ""%s"" sein."
"Your cart subtotal must be greater than ""%s"".","Die Zwischensumme in Ihrem Warenkorb muss mehr als ""%s"" sein."
"Your cart subtotal must be less than ""%s"".","Die Zwischensumme in Ihrem Warenkorb muss weniger als ""%s"" sein."
"Your cart subtotal can't be equal to ""%s"".","Die Zwischensumme in Ihrem Warenkorb darf nicht genau ""%s"" sein."
"Your total quantity must be equal to ""%s"".","Die Gesamtzahl in Ihrem Warenkorb muss genau ""%s"" sein."
"Your total quantity must be less than or equal to ""%s"".","Die Gesamtzahl in Ihrem Warenkorb muss weniger als oder genau ""%s"" sein."
"Your total quantity must be greater than or equal to ""%s"".","Die Gesamtzahl in Ihrem Warenkorb muss mehr als oder genau ""%s"" sein."
"Your total quantity must be greater than ""%s"".","Die Gesamtzahl in Ihrem Warenkorb muss mehr als ""%s"" sein."
"Your total quantity must be less than ""%s"".","Die Gesamtzahl in Ihrem Warenkorb muss weniger als ""%s"" sein."
"Your total quantity can't be equal to ""%s"".","Die Gesamtzahl in Ihrem Warenkorb darf nicht genau ""%s"" sein."
"Your total items weight must be equal to ""%s"".","Das Gesamtgewicht muss genau ""%s"" sein."
"Your total items weight must be less than or equal to ""%s"".","Das Gesamtgewicht muss weniger als oder genau ""%s"" sein."
"Your total items weight be greater than or equal to ""%s"".","Das Gesamtgewicht muss mehr als oder genau ""%s"" sein."
"Your total items weight must be greater than ""%s"".","Das Gesamtgewicht muss mehr als ""%s"" sein."
"Your total items weight must be less than ""%s"".","Das Gesamtgewicht muss weniger als ""%s"" sein."
"Your total items weight can't be equal to ""%s"".","Das Gesamtgewicht darf nicht genau ""%s"" sein."
